      DC Relation Cnt	                                  Comparison	                       Comparison.Concession	                         Comparison.Contrast	                                 Contingency	                    Contingency.Cause.Reason	                    Contingency.Cause.Result	                       Contingency.Condition	                                   Expansion	                       Expansion.Alternative	    Expansion.Alternative.Chosen alternative	                       Expansion.Conjunction	                         Expansion.Exception	                     Expansion.Instantiation	                       Expansion.Restatement	                                    Temporal	                       Temporal.Asynchronous	            Temporal.Asynchronous.Precedence	            Temporal.Asynchronous.Succession	                          Temporal.Synchrony	
          as a result	                                        null	                                        null	                                        null	                                        null	                                        null	                                          59	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
    as an alternative	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                as if	                                        null	                                           4	                                        null	                                        null	                                        null	                                        null	                                        null	                                          11	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
           as long as	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          14	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           9	
           as soon as	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           6	                                           8	
            as though	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	
              as well	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           6	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              because	                                        null	                                        null	                                        null	                                        null	                                         633	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
               before	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                         245	                                           3	                                        null	
     before and after	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	
              besides	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                          12	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                  but	                                         230	                                         479	                                        1770	                                        null	                                           1	                                           1	                                        null	                                           2	                                        null	                                           1	                                          70	                                           2	                                        null	                                           2	                                        null	                                        null	                                           4	                                        null	                                        null	
        by comparison	                                        null	                                        null	                                           8	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
          by contrast	                                        null	                                        null	                                          24	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              by then	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                           2	                                           2	
         consequently	                                        null	                                        null	                                        null	                                        null	                                        null	                                           9	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
           conversely	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              earlier	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          10	                                        null	
            either or	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                 else	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
               except	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                           7	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              finally	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                           1	                                        null	                                        null	                                          16	                                        null	                                        null	                                        null	                                        null	                                        null	                                          13	                                        null	                                        null	
                  for	                                        null	                                        null	                                        null	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
          for example	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                         139	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	
         for instance	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          72	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              further	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           6	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
          furthermore	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           9	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                hence	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              however	                                          45	                                          70	                                         240	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                   if	                                           1	                                          32	                                           7	                                        null	                                        null	                                           1	                                         906	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	
          if and when	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              if then	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          32	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
          in addition	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                         122	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
          in contrast	                                        null	                                        null	                                          10	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              in fact	                                           1	                                        null	                                           5	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                          29	                                        null	                                           2	                                          27	                                        null	                                        null	                                        null	                                        null	                                        null	
       in other words	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          15	                                        null	                                        null	                                        null	                                        null	                                        null	
        in particular	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           5	                                           6	                                        null	                                        null	                                        null	                                        null	                                        null	
             in short	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           4	                                        null	                                        null	                                        null	                                        null	                                        null	
               in sum	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	
           in the end	                                        null	                                           1	                                           1	                                        null	                                        null	                                           1	                                        null	                                           1	                                        null	                                        null	                                           1	                                        null	                                        null	                                           3	                                        null	                                        null	                                           1	                                        null	                                        null	
              in turn	                                        null	                                        null	                                           1	                                        null	                                        null	                                           6	                                        null	                                        null	                                        null	                                        null	                                           4	                                        null	                                        null	                                           1	                                        null	                                           1	                                          14	                                        null	                                        null	
               indeed	                                        null	                                        null	                                        null	                                        null	                                           2	                                           1	                                        null	                                           3	                                        null	                                        null	                                          46	                                        null	                                           1	                                          28	                                        null	                                        null	                                        null	                                        null	                                        null	
           insofar as	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              instead	                                        null	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                           4	                                          86	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                later	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                          71	                                        null	                                        null	
                 lest	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
             likewise	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           8	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
             meantime	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                           2	                                           9	
            meanwhile	                                        null	                                           1	                                          34	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          98	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                         117	
             moreover	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          82	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              much as	                                           1	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                           1	
          neither nor	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
         nevertheless	                                           1	                                          11	                                          16	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                 next	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                           5	                                        null	                                        null	
          nonetheless	                                           3	                                          14	                                           4	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                  nor	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                           6	                                        null	                                          19	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
             now that	                                        null	                                        null	                                        null	                                        null	                                          15	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                           3	                                           6	
      on the contrary	                                        null	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
    on the other hand	                                        null	                                        null	                                          26	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                 once	                                        null	                                        null	                                        null	                                        null	                                           6	                                           1	                                           5	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          65	                                           2	
                   or	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                           1	                                          63	                                        null	                                           2	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	
            otherwise	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          18	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              overall	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           3	                                        null	                                        null	                                           5	                                        null	                                        null	                                        null	                                        null	                                        null	
         particularly	                                        null	                                        null	                                        null	                                        null	                                           9	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	
                 plus	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
           previously	                                        null	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          36	                                        null	
               rather	                                        null	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           5	                                        null	                                        null	                                        null	                                           7	                                        null	                                        null	                                        null	                                        null	                                        null	
           regardless	                                        null	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
           separately	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                          59	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	
            similarly	                                           2	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          11	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
       simultaneously	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           3	
                since	                                        null	                                        null	                                        null	                                        null	                                          81	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                          66	                                           1	
                   so	                                        null	                                        null	                                        null	                                        null	                                           1	                                         203	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
              so that	                                        null	                                        null	                                        null	                                        null	                                        null	                                          20	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
         specifically	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                           5	                                        null	                                        null	                                        null	                                        null	                                        null	
                still	                                           8	                                          68	                                          68	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	
                 then	                                           1	                                           1	                                           1	                                        null	                                           1	                                           7	                                        null	                                        null	                                           1	                                        null	                                           9	                                        null	                                        null	                                        null	                                        null	                                        null	                                         233	                                        null	                                           5	
           thereafter	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           8	                                           1	                                        null	
              thereby	                                        null	                                        null	                                        null	                                        null	                                        null	                                          11	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
            therefore	                                        null	                                        null	                                        null	                                        null	                                        null	                                          20	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
               though	                                          12	                                         131	                                         103	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                 thus	                                        null	                                        null	                                        null	                                        null	                                        null	                                          86	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                 till	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           2	                                        null	                                        null	
           ultimately	                                        null	                                        null	                                        null	                                        null	                                           1	                                           1	                                        null	                                           2	                                        null	                                        null	                                           2	                                        null	                                        null	                                           1	                                        null	                                        null	                                          11	                                           1	                                        null	
               unless	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                          78	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                until	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          18	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                         102	                                           7	                                           1	
                 when	                                        null	                                          10	                                           3	                                           4	                                          82	                                           3	                                         155	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                           3	                                           6	                                        null	                                           3	                                         171	                                         467	
          when and if	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           1	                                        null	
              whereas	                                        null	                                        null	                                           3	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
                while	                                          19	                                          78	                                         331	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                          60	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                         177	
                  yet	                                           9	                                          25	                                          36	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                           4	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	                                        null	
